ADUS,59.60,6.40,8.32,-8,58.07,61.19,12,-5,-2,-9,64.74,61.11,10,1,67.69,0,10,59.02,10,2,0,0,60.05,64.54,0,0,7,59.02,10,10,1,10,1,10,369400,72409,410.2,85,0,10
ADVM,5.20,1.10,1.43,-1,4.94,5.44,7,1,0,6,5.59,4.06,3,1,5.98,1,10,5.09,3,3,0,0,0,0,0,0,6,3.70,12,1,1,5,1,8,452500,792395,-42.9,0,90,-1
ADX,16.15,0.52,0.67,6,16.02,16.27,7,6,3,0,16.53,15.70,1,0,16.69,1,10,16.13,2,2,0,0,16.22,16.62,0,0,0,15.46,3,1,1,5,1,6,78100,179343,-56.5,50,70,0
ADXS,1.44,0.38,0.49,-5,1.36,1.52,1,0,0,0,1.80,1.06,1,0,1.93,2,0,1.44,1,1,0,0,0,0,0,0,0,0.95,12,1,2,-5,1,8,109200,674105,-83.8,75,100,3
AEE,64.76,3.33,4.33,8,63.77,65.56,0,8,6,7,65.35,60.88,8,1,66.34,0,10,0,0,0,0,0,0,0,0,0,4,60.08,10,7,1,10,2,3,1782300,1563035,14,0,50,5
AEF,6.76,0.47,0.61,1,6.62,6.87,12,-6,-4,-7,7.17,6.63,3,1,7.31,1,6,6.71,5,1,6.64,6.31,0,0,0,0,5,6.49,11,8,1,10,1,10,77600,134261,-42.2,85,0,7
AEG,6.01,0.43,0.56,-3,5.91,6.13,12,-5,-2,-8,6.51,6.02,7,1,6.64,2,0,6.02,6,2,0,0,0,0,0,0,-9,5.88,1,6,2,-10,1,10,2104900,1799383,17,35,0,3
AEGN,24.56,1.86,2.42,-4,24.03,25.01,12,-4,-3,-4,26.40,23.21,1,0,27.00,1,5,24.65,10,4,0,0,0,0,0,0,-2,22.64,0,1,2,-5,2,7,66100,113915,-42,95,60,1
AEH,26.01,0.27,0.35,3,25.95,26.07,7,-1,-3,5,26.16,25.75,5,1,26.24,2,5,26.00,10,4,0,0,0,0,0,0,4,25.67,0,1,1,10,2,4,34200,40644,-15.9,0,50,0
AEHR,2.40,0.37,0.48,3,2.33,2.47,1,-3,-6,3,2.68,2.10,1,1,2.79,1,5,2.37,10,4,0,0,0,0,0,0,4,1.98,7,2,1,10,1,5,18300,103843,-82.4,65,75,4
AEIS,57.58,6.26,8.14,-7,56.17,59.30,12,-4,0,-6,65.06,55.06,9,2,66.86,2,3,58.18,7,4,57.16,52.34,0,0,0,0,-7,53.14,1,6,2,-10,1,10,541500,401661,34.8,60,0,1
AEL,37.36,2.90,3.77,8,36.52,38.02,7,6,4,6,38.64,34.10,1,1,39.50,1,10,36.99,1,1,0,0,37.48,39.63,0,0,5,33.23,10,2,1,10,1,5,326400,554871,-41.2,0,75,7
AEM,35.56,3.32,4.31,-9,34.73,36.44,12,-10,-9,-9,38.93,38.74,10,1,39.56,1,7,35.41,8,1,34.87,32.57,0,0,0,0,9,37.68,11,10,1,10,1,10,3238600,1271700,154.7,55,0,6
AEMD,1.10,0.31,0.40,-5,1.04,1.18,12,-6,-4,-5,1.43,0.93,1,2,1.51,2,0,1.12,6,2,1.08,0.85,0,0,0,0,0,0.83,7,1,2,-10,1,10,33700,148277,-77.3,55,0,-2
AEO,27.90,2.91,3.79,3,27.10,28.46,6,8,7,8,28.24,24.45,1,1,29.10,0,10,27.26,1,1,0,0,27.76,29.95,0,1,9,23.52,10,6,1,10,2,6,2906900,4153369,-30,0,20,8
AEP,72.50,3.71,4.82,7,71.43,73.41,6,6,4,5,74.46,68.64,1,0,75.56,0,10,71.10,6,2,0,0,71.70,74.69,0,1,2,67.80,10,1,1,10,2,2,2130500,2892748,-26.4,0,40,9
AER,56.56,2.33,3.03,4,56.06,57.01,12,4,5,-6,58.75,55.48,1,0,59.45,1,8,56.35,9,2,0,0,0,0,0,0,-2,54.65,10,5,1,5,1,10,708200,1103219,-35.8,95,10,10
AERI,63.95,5.45,7.09,-6,62.74,65.16,12,-7,-8,-6,69.59,62.70,3,2,71.21,1,5,63.62,10,3,62.74,58.8,0,0,0,0,-2,60.99,6,4,1,0,1,10,287100,346967,-17.3,95,0,5
AES,13.94,0.94,1.22,8,13.65,14.15,7,7,6,6,14.40,12.83,1,1,14.68,1,10,13.86,5,1,0,0,14.01,14.7,0,0,4,12.55,2,4,1,10,2,1,4541800,7072255,-35.8,0,55,2
AET,198.86,11.24,14.61,6,196.38,200.81,7,7,5,8,200.41,186.27,1,0,203.76,1,10,198.33,1,1,0,0,200.22,208.51,0,0,2,182.81,10,1,1,5,2,0,879400,1961908,-55.2,0,75,6
AEUA,32.89,2.66,3.45,0,32.41,33.37,1,0,0,0,35.55,30.28,2,0,36.34,1,8,32.92,6,4,0,0,0,0,0,0,0,29.44,8,2,0,0,2,1,100,44069,-99.8,70,70,6
AEZS,1.82,0.27,0.35,-3,1.77,1.89,12,-4,0,-6,2.11,1.68,2,0,2.19,3,0,1.79,4,2,0,0,0,0,0,0,0,1.60,0,1,1,5,1,10,59800,119667,-50,75,0,8
AFB,12.57,0.32,0.41,-2,12.50,12.65,1,-2,-4,1,12.83,12.29,7,0,12.97,1,5,12.55,10,4,0,0,0,0,0,0,2,12.19,7,1,1,5,1,5,73200,71045,3,70,60,1
AFG,113.30,6.12,7.95,8,111.49,114.73,7,5,3,5,117.13,106.50,1,1,118.96,2,7,113.02,10,3,0,0,0,0,0,0,4,104.65,9,4,1,10,2,1,159200,302668,-47.4,0,55,2
AFH,10.70,1.33,1.73,3,10.39,10.96,7,9,8,9,9.83,9.12,3,1,10.35,1,10,10.71,7,3,0,0,0,0,0,0,4,8.89,9,2,1,10,2,5,25400,102243,-75.2,0,75,1
AFI,17.46,1.27,1.65,9,17.08,17.83,7,10,9,10,14.70,15.45,7,1,15.28,1,10,17.27,5,1,0,0,17.51,18.53,0,0,7,15.02,10,8,1,10,1,6,125000,115548,8.2,0,55,2
AFL,46.76,2.09,2.72,6,46.22,47.19,7,8,8,0,48.06,44.69,3,1,48.68,1,10,46.77,1,1,0,0,47.11,48.62,0,0,6,44.36,9,2,1,10,1,5,2895400,3466428,-16.5,20,60,0
AFMD,1.60,0.23,0.30,9,1.52,1.67,12,-5,-7,5,1.69,1.45,2,1,1.78,0,10,1.58,3,1,0,0,0,0,0,0,9,1.38,11,3,1,10,2,8,136800,437960,-68.8,0,0,4
AFSI,14.47,1.27,1.65,-1,14.23,14.70,1,-1,-1,-2,15.72,13.36,1,0,16.10,0,10,14.63,10,4,0,0,14.83,15.86,0,0,-1,12.96,8,1,2,-5,1,7,416900,1323068,-68.5,70,70,4
AFT,16.20,0.35,0.46,7,16.10,16.29,7,4,0,6,16.29,15.83,1,0,16.44,1,10,16.15,9,3,0,0,0,0,0,0,-8,15.72,1,4,1,10,1,8,46000,78012,-41,0,25,3
AG,5.25,0.53,0.69,-7,5.13,5.37,11,-10,-9,-10,5.68,6.01,9,1,5.89,1,8,5.13,8,1,0,0,0,0,0,0,9,5.84,11,10,1,10,0,10,4638900,2768012,67.6,50,0,5
AGC,5.61,0.19,0.25,0,5.55,5.65,1,1,2,-3,5.79,5.45,2,1,5.85,2,3,5.62,10,4,0,0,0,0,0,0,5,5.40,0,8,2,0,1,5,87600,121047,-27.6,70,60,0
AGCO,60.01,4.09,5.32,8,58.69,61.20,7,-2,-1,5,62.00,58.98,8,1,63.39,1,10,60.46,10,3,0,0,0,0,0,0,9,57.71,1,8,1,10,0,10,843300,744387,13.3,0,0,1
AGD,10.35,0.39,0.50,4,10.27,10.43,12,-1,1,-4,10.74,10.10,2,0,10.85,2,1,10.41,10,3,0,0,0,0,0,0,-4,9.98,0,4,1,5,2,8,22500,32052,-29.8,70,40,6
AGEN,1.67,0.51,0.66,-6,1.54,1.80,12,-6,-5,-1,2.17,1.35,5,2,2.38,1,8,1.71,5,1,1.62,1.24,0,0,0,0,-3,1.18,11,7,2,-5,1,10,1405300,1509163,-6.9,100,70,5
